OrderID,Quantity,Sales,Discount,Profit,ProductID
CA-2017-126221,2,209.3,0.0,125.58,1
CA-2017-146626,8,101.12,0.0,60.672,2
CA-2017-164826,7,72.45,0.0,43.47,3
CA-2017-164826,4,13.96,0.0,8.376,4
CA-2017-164826,7,33.264,0.2,19.9584,5
CA-2017-164826,3,14.85,0.0,8.91,6
CA-2017-158673,2,209.7,0.0,125.82,7
CA-2017-143259,4,323.136,0.2,193.88160000000002,8
CA-2017-143259,7,90.93,0.0,54.558,9
CA-2017-143259,3,52.776,0.2,31.6656,10
CA-2017-115427,2,13.904,0.2,8.3424,11
CA-2017-115427,2,20.72,0.2,12.431999999999999,12
CA-2017-115427,2,20.72,0.2,12.431999999999999,1124
CA-2017-127516,1,64.784,0.2,38.870400000000004,13
CA-2017-156720,3,3.024,0.2,1.8144,14
CA-2017-163979,4,725.84,0.0,435.504,15
CA-2017-118885,4,393.568,0.2,236.14079999999998,16
CA-2017-118885,3,302.376,0.2,181.42559999999997,17
CA-2017-129805,2,7.4,0.0,4.44,18
CA-2017-130631,5,19.6,0.0,11.76,19
CA-2017-130631,2,68.46,0.0,41.07599999999999,20
CA-2017-135111,1,2.48,0.0,1.488,21
CA-2017-135111,5,25.9,0.0,15.54,22
CA-2017-136539,2,27.168,0.2,16.3008,23
CA-2017-136539,2,78.8528,0.32,47.31168,24
US-2017-106705,5,44.75,0.0,26.849999999999998,25
CA-2017-163860,5,1.68,0.8,1.008,26
CA-2017-163860,3,7.968,0.6,4.7808,27
CA-2017-163860,2,113.372,0.3,68.0232,28
CA-2017-163860,2,2.96,0.6,1.776,18
US-2017-158526,8,1207.84,0.0,724.704,29
US-2017-158526,1,12.53,0.0,7.517999999999999,30
US-2017-158526,1,34.58,0.0,20.747999999999998,31
US-2017-158526,1,300.98,0.0,180.588,32
US-2017-158526,3,258.75,0.0,155.25,33
CA-2017-134194,9,39.582,0.8,23.7492,10
CA-2017-134194,7,44.688,0.2,26.8128,34
CA-2017-134194,2,31.744,0.2,19.0464,35
CA-2017-134194,5,40.98,0.8,24.587999999999997,36
CA-2017-134194,3,3.168,0.8,1.9008,37
CA-2017-122798,5,118.25,0.0,70.95,38
CA-2017-122798,1,4.28,0.0,2.568,39
CA-2017-136238,3,16.032,0.2,9.6192,40
CA-2017-147956,6,1003.62,0.0,602.172,41
US-2017-102638,3,6.03,0.0,3.618,42
CA-2017-128734,4,8.544,0.2,5.1264,43
CA-2017-128734,3,842.376,0.2,505.4256,44
US-2017-162068,2,1.188,0.7,0.7128,45
CA-2017-101322,6,340.704,0.2,204.4224,46
CA-2017-146780,2,41.96,0.0,25.176,47
US-2017-147669,7,158.928,0.2,95.35679999999999,48
US-2017-147669,1,13.023,0.7,7.8138,49
US-2017-147669,2,273.06,0.4,163.83599999999998,50
US-2017-147669,13,39.312,0.2,23.5872,51
CA-2017-112487,2,3.132,0.7,1.8792,52
CA-2017-110625,2,27.46,0.0,16.476,53
CA-2017-110625,2,27.46,0.0,16.476,204
CA-2017-163671,3,21.312,0.2,12.7872,54
CA-2017-117933,3,35.91,0.0,21.545999999999996,55
CA-2017-161480,2,191.984,0.2,115.1904,56
CA-2017-154935,3,17.88,0.2,10.728,57
CA-2017-169411,1,37.93,0.0,22.758,58
CA-2017-114055,2,96.08,0.0,57.647999999999996,59
CA-2017-114055,2,3.62,0.0,2.172,60
CA-2017-114055,6,629.1,0.0,377.46,7
CA-2017-114055,2,90.48,0.0,54.288000000000004,61
CA-2017-121398,3,153.552,0.2,92.13119999999999,62
CA-2017-121398,2,270.62,0.0,162.37199999999999,63
CA-2017-162880,1,3.856,0.2,2.3135999999999997,64
CA-2017-108756,3,31.8,0.0,19.08,65
CA-2017-165841,3,281.97,0.0,169.18200000000002,66
CA-2017-165841,5,69.5,0.0,41.699999999999996,67
CA-2017-165841,3,166.44,0.0,99.86399999999999,68
CA-2017-163510,3,95.94,0.0,57.56399999999999,69
CA-2017-163510,5,304.45,0.0,182.67,70
CA-2017-163510,5,304.45,0.0,182.67,712
CA-2017-169978,2,271.764,0.1,163.0584,29
CA-2017-169978,3,14.376,0.2,8.625599999999999,71
CA-2017-124296,3,479.97,0.0,287.982,72
CA-2017-124296,4,232.88,0.0,139.72799999999998,73
US-2017-162670,4,62.04,0.0,37.224,74
US-2017-162670,3,494.97,0.0,296.982,75
US-2017-162670,4,367.96,0.0,220.77599999999998,76
US-2017-162670,2,44.96,0.0,26.976,77
US-2017-162670,3,182.94,0.0,109.764,78
CA-2017-148355,3,19.44,0.0,11.664,79
CA-2017-148355,5,12.3,0.0,7.38,80
CA-2017-150910,6,934.956,0.4,560.9736,81
CA-2017-150910,2,46.864,0.2,28.118399999999998,82
CA-2017-150910,3,26.16,0.2,15.696,83
CA-2017-150910,7,23.128,0.2,13.8768,84
CA-2017-150910,5,59.24,0.2,35.544,85
CA-2017-105620,3,21.0,0.2,12.6,86
CA-2017-105620,2,120.0,0.5,72.0,87
CA-2017-155376,3,839.43,0.0,503.65799999999996,88
CA-2017-127929,3,181.95,0.0,109.16999999999999,89
CA-2017-134404,2,164.388,0.4,98.6328,90
CA-2017-134404,4,13.248,0.2,7.948799999999999,91
CA-2017-144827,2,124.36,0.0,74.616,92
CA-2017-119578,6,695.16,0.0,417.09599999999995,93
CA-2017-119578,1,220.98,0.0,132.588,94
CA-2017-106782,1,375.34,0.0,225.20399999999998,95
CA-2017-140627,4,72.704,0.2,43.62239999999999,96
CA-2017-140627,7,12.264,0.2,7.3584,97
CA-2017-140627,3,218.352,0.2,131.0112,98
CA-2017-121195,2,264.32,0.2,158.59199999999998,99
CA-2017-105480,1,6.48,0.0,3.888,100
CA-2017-105480,1,6.984,0.2,4.1903999999999995,101
CA-2017-115931,3,4.17,0.0,2.502,102
CA-2017-115931,4,67.04,0.2,40.224000000000004,103
CA-2017-115931,3,37.32,0.0,22.392,104
CA-2017-115931,5,18.45,0.0,11.069999999999999,105
CA-2017-107461,6,23.88,0.0,14.328,106
CA-2017-121741,2,750.68,0.0,450.40799999999996,95
CA-2017-104927,5,25.92,0.2,15.552,107
CA-2017-104927,5,6.33,0.8,3.798,108
CA-2017-104927,5,75.88,0.2,45.528,109
CA-2017-102197,5,279.9,0.0,167.93999999999997,110
CA-2017-102197,5,279.9,0.0,167.93999999999997,703
CA-2017-102197,3,50.352,0.2,30.211199999999998,111
